date,home_team,score,away_team
16-04-2023,Daejeon Citizen,2 - 1,Ulsan Hyundai FC
22-04-2023,Ulsan Hyundai FC,2 - 2,Pohang Steelers
25-04-2023,Incheon United,0 - 1,Ulsan Hyundai FC
30-04-2023,Ulsan Hyundai FC,2 - 1,Gwangju FC
05-05-2023,Daegu FC,0 - 3,Ulsan Hyundai FC
09-05-2023,Ulsan Hyundai FC,1 - 0,Gangwon FC
14-05-2023,Ulsan Hyundai FC,3 - 2,FC Seoul
21-05-2023,Suwon Bluewings,2 - 3,Ulsan Hyundai FC
28-05-2023,Ulsan Hyundai FC,3 - 3,Daejeon Citizen
03-06-2023,Jeonbuk Motors,2 - 0,Ulsan Hyundai FC
06-06-2023,Suwon City FC,1 - 3,Ulsan Hyundai FC
10-06-2023,Ulsan Hyundai FC,5 - 1,Jeju United FC
24-06-2023,Ulsan Hyundai FC,3 - 1,Daegu FC
02-07-2023,Gwangju FC,0 - 1,Ulsan Hyundai FC
08-07-2023,Pohang Steelers,0 - 1,Ulsan Hyundai FC
12-07-2023,Ulsan Hyundai FC,1 - 2,Incheon United
15-07-2023,Suwon Bluewings,3 - 1,Ulsan Hyundai FC
21-07-2023,Ulsan Hyundai FC,2 - 1,Jeju United FC
05-08-2023,Daegu FC,0 - 0,Ulsan Hyundai FC
12-08-2023,Gangwon FC,2 - 0,Ulsan Hyundai FC
19-08-2023,Ulsan Hyundai FC,1 - 0,Jeonbuk Motors
27-08-2023,FC Seoul,2 - 2,Ulsan Hyundai FC
03-09-2023,Ulsan Hyundai FC,0 - 2,Gwangju FC
16-09-2023,Ulsan Hyundai FC,1 - 1,Daejeon Citizen
24-09-2023,Suwon City FC,2 - 3,Ulsan Hyundai FC
30-09-2023,Pohang Steelers,0 - 0,Ulsan Hyundai FC
08-10-2023,Ulsan Hyundai FC,0 - 0,Incheon United
